window,train_start,test_start,test_end,n_factors,factors,sharpe,mdd,winrate,n_trades
0,2024-01-01 00:00:00+00:00,2024-03-31 00:00:00+00:00,2024-04-29 23:00:00+00:00,3,"['skew_5', 'skew_10', 'adx_7']",-6.27805885324889,-0.3173718984399162,0.4603616133518776,720
1,2024-01-31 00:00:00+00:00,2024-04-30 00:00:00+00:00,2024-05-29 23:00:00+00:00,4,"['skew_5', 'skew_10', 'adx_7', 'bb_lower_20']",2.4098235330782023,-0.11406782691472683,0.49791376912378305,720
2,2024-03-01 00:00:00+00:00,2024-05-30 00:00:00+00:00,2024-06-28 23:00:00+00:00,4,"['bb_upper_10', 'bb_lower_10', 'bb_upper_20', 'bb_lower_20']",3.780526100478163,-0.06449240949565993,0.4965229485396384,720
7,2024-07-29 00:00:00+00:00,2024-10-27 00:00:00+00:00,2024-11-25 23:00:00+00:00,3,"['bb_upper_10', 'obv', 'obv_ma10']",-7.326006767116024,-0.40502978187059624,0.45479833101529904,720
8,2024-08-28 00:00:00+00:00,2024-11-26 00:00:00+00:00,2024-12-25 23:00:00+00:00,3,"['log_return_5', 'return_5', 'stoch_k_7']",-14.45855919198242,-0.682550908889041,0.44506258692628653,720
9,2024-09-27 00:00:00+00:00,2024-12-26 00:00:00+00:00,2025-01-24 23:00:00+00:00,3,"['log_return_5', 'return_5', 'stoch_k_7']",-15.028188959273171,-0.7344894977780542,0.42559109874826145,720
10,2024-10-27 00:00:00+00:00,2025-01-25 00:00:00+00:00,2025-02-23 23:00:00+00:00,2,"['bb_upper_10', 'bb_lower_10']",1.0427257510246946,-0.09302049003893853,0.4909596662030598,720
11,2024-11-26 00:00:00+00:00,2025-02-24 00:00:00+00:00,2025-03-25 23:00:00+00:00,8,"['log_return_20', 'return_20', 'bb_upper_10', 'bb_lower_10', 'bb_upper_20', 'bb_lower_20', 'macd', 'macd_signal']",-0.4447387199673427,-0.19652883362233653,0.5118219749652295,720
13,2025-01-25 00:00:00+00:00,2025-04-25 00:00:00+00:00,2025-05-24 23:00:00+00:00,2,"['obv', 'obv_ma10']",-9.007032872481087,-0.299606466254296,0.4853963838664812,720
15,2025-03-26 00:00:00+00:00,2025-06-24 00:00:00+00:00,2025-07-23 23:00:00+00:00,2,"['volatility_5', 'volatility_10']",-3.7641445497382002,-0.14190144091079737,0.4812239221140473,720
17,2025-05-25 00:00:00+00:00,2025-08-23 00:00:00+00:00,2025-09-21 23:00:00+00:00,3,"['volume_ratio', 'obv', 'obv_ma10']",0.007172207917359878,-0.06325115757999933,0.5118219749652295,720
18,2025-06-24 00:00:00+00:00,2025-09-22 00:00:00+00:00,2025-10-21 23:00:00+00:00,4,"['bb_upper_10', 'bb_lower_10', 'bb_upper_20', 'volume_ratio']",2.4094802075551436,-0.10672563709178384,0.5229485396383866,720
19,2025-07-24 00:00:00+00:00,2025-10-22 00:00:00+00:00,2025-11-20 23:00:00+00:00,2,"['bb_upper_10', 'bb_upper_20']",-4.831054849937349,-0.28172705247605634,0.5048678720445062,720
